fjord,MAR_land (m3),MAR_ice (m3),MAR_total (m3),RACMO_land (m3),RACMO_ice (m3),RACMO_total (m3)
1,2530959276.701,2267171218.886,4798130495.587,1058294541.888,3006031859.078,4064326400.966
2,1115440084.742,,1115440084.742,1775193860.131,,1775193860.131
3,1007145486.23,336160087.978,1343305574.208,1840048140.24,528573049.805,2368621190.045
4,404410643.136,375926972.227,780337615.363,1185810634.8,215153142.883,1400963777.683
5,2988150894.806,17833844178.634,20821995073.44,2334298319.856,19312918828.272,21647217148.128
6,270421910.813,159314659.92,429736570.733,419711131.008,196634324.909,616345455.917
7,739964365.373,179968021.171,919932386.544,884811928.493,398828345.875,1283640274.368
8,1668532723.344,8390433670.33,10058966393.674,1153683755.914,8843150366.669,9996834122.582
9,1185186612.269,8040080471.098,9225267083.366,581880706.819,8125223919.61,8707104626.429
10,208602831.514,1105555350.355,1314158181.869,430365030.941,1059404460.221,1489769491.162
11,374556072.413,505300090.493,879856162.906,329569822.138,522487346.141,852057168.278
12,1193389988.573,5819615056.8,7013005045.373,411754394.045,5960500978.867,6372255372.912
13,2000477418.394,7847113231.843,9847590650.237,307768541.069,9125617925.808,9433386466.877
14,482034010.608,2023809432.365,2505843442.973,430325859.686,2606905463.616,3037231323.302
15,3093492244.291,21299996310.048,24393488554.339,1956315407.616,23156190850.234,25112506257.85
16,1273467284.093,1444593637.814,2718060921.907,512577511.603,1277006724.634,1789584236.237
17,840027237.408,228636149.472,1068663386.88,876114467.482,253072144.022,1129186611.504
18,6885112107.456,35497427519.174,42382539626.63,3109139088.422,34582997497.104,37692136585.526
19,1303071490.944,12367205394.998,13670276885.942,50775.811,8887454623.21,8887505399.021
20,2419961857.661,10916971831.037,13336933688.698,370431294.509,6911833246.531,7282264541.04
21,1112402442.442,4639364896.954,5751767339.395,212362257.6,2535092230.896,2747454488.496
22,4105829649.6,8720150317.085,12825979966.685,299933735.155,5082845190.077,5382778925.232
23,3779233235.856,3680041106.995,7459274342.851,1342050077.837,2622200766.797,3964250844.634
24,3558364751.808,13026808870.33,16585173622.138,1119962006.208,8370763998.912,9490726005.12
25,1699764820.157,11922912448.877,13622677269.034,132082567.488,8391931941.715,8524014509.203
26,549714770.294,866650448.304,1416365218.598,387180933.12,1089232604.294,1476413537.414
27,968496098.458,535186898.438,1503682996.896,935506653.552,656205323.76,1591711977.312
28,2505696213.83,7018883036.784,9524579250.614,2534531566.522,7256608270.646,9791139837.168
29,8795185922.477,7507507987.066,16302693909.542,11045219065.286,7038382765.882,18083601831.168
30,8628076374.048,53633407684.637,62261484058.685,12355123427.482,49047109224.106,61402232651.587
31,2299299153.408,18513659160.778,20812958314.186,2081471620.781,11763201608.323,13844673229.104
32,1356664632.653,5748235205.962,7104899838.614,871114663.382,4592870284.378,5463984947.76
33,3626711184.269,31996516511.894,35623227696.163,678721307.875,19809034290.662,20487755598.538
34,1120678622.237,2878179538.234,3998858160.47,514374555.139,1786824394.992,2301198950.131
35,1410998460.912,20595737399.069,22006735859.981,797734210.435,12292760669.357,13090494879.792
36,4752247041.446,16720307602.704,21472554644.15,1642068879.84,13589865379.843,15231934259.683
37,8510821124.746,5714985792.874,14225806917.619,8692189519.277,5785188139.325,14477377658.602
38,2342647243.354,44906858.525,2387554101.878,1746299577.629,38194332.278,1784493909.907
39,4500080904.931,6002046365.818,10502127270.749,3601432616.141,5176752040.858,8778184656.998
40,10402832217.37,18401131724.573,28803963941.942,8187601037.76,19394874859.392,27582475897.152
41,3686109930.0,13337855066.333,17023964996.333,1028476062.0,11315040636.326,12343516698.326
42,1676208119.962,13973403633.235,15649611753.197,594663099.264,9183537673.315,9778200772.579
43,1746169333.258,12623974853.875,14370144187.133,703189679.357,8987382413.338,9690572092.694
44,574807037.386,118036470.586,692843507.971,268603058.102,93986554.09,362589612.192
45,1533790703.203,17674912772.87,19208703476.074,775574384.4,12144163547.549,12919737931.949
46,1413951917.04,7950770961.898,9364722878.938,917341625.52,5237988398.813,6155330024.333
47,841838017.853,4538269706.573,5380107724.426,473524167.715,3269799371.923,3743323539.638
48,2178674746.128,5907821357.318,8086496103.446,1057079260.31,4451402476.886,5508481737.197
49,2279055243.83,7875960779.808,10155016023.638,1219123614.442,5962937760.317,7182061374.758
50,1193833708.301,6698672744.083,7892506452.384,569878984.426,5574057486.854,6143936471.28
51,2880449223.811,2910687648.134,5791136871.946,1809121776.653,2030434583.069,3839556359.722
52,5926055592.701,14864220593.885,20790276186.586,3830716557.562,12419884992.701,16250601550.262
