fjord,mean annual discharge (m3)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,80175446.94
16,0.0
17,0.0
18,909091061.717
19,1323748953.047
20,0.0
21,0.0
22,0.0
23,0.0
24,180710230.781
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,44458084.049
31,2196145632.896
32,21409025.538
33,2197430502.149
34,0.0
35,1490863751.793
36,1045456386.739
37,11134388.516
38,12280558.082
39,53044315.026
40,893979703.376
41,0.0
42,1405395142.821
43,382425561.057
44,0.0
45,2525622559.09
46,971491342.781
47,760458070.667
48,374137492.355
49,0.0
50,272952592.891
51,0.0
52,284192700.176
